Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Zach LaVine,CHI,NOP,L,36.77,10,17,0.588,5,8,0.625,2,3,0.667,1,4,5,3,0,0,7,4,27,14.1,10/23/24
Dejounte Murray,NOP,CHI,W,29.98,4,15,0.267,0,3,0,6,7,0.857,0,8,8,10,1,0,1,0,14,14.1,10/23/24
Kyle Lowry,PHI,MIL,L,24.2,4,7,0.571,3,5,0.6,2,4,0.5,0,4,4,6,0,0,0,1,13,13.9,10/23/24
Jaden Ivey,DET,IND,L,30.6,5,13,0.385,0,2,0,7,9,0.778,4,1,5,4,1,0,1,3,17,13.8,10/23/24
Jordan Clarkson,UTA,MEM,L,25.1,7,16,0.438,2,5,0.4,1,2,0.5,2,3,5,7,0,1,2,1,17,13.7,10/23/24
Yves Missi,NOP,CHI,W,22.77,5,8,0.625,0,0,0,2,2,1,3,4,7,1,1,3,1,2,12,13.7,10/23/24
Ivica Zubac,LAC,PHO,L,33.82,8,13,0.615,0,0,0,5,8,0.625,1,8,9,3,0,0,3,6,21,13.7,10/23/24
Jay Huff,MEM,UTA,W,22.45,4,6,0.667,3,5,0.6,2,2,1,1,4,5,1,0,2,0,2,13,13.6,10/23/24
Bennedict Mathurin,IND,DET,W,27.68,5,8,0.625,2,3,0.667,7,9,0.778,1,5,6,1,0,0,3,3,19,13.3,10/23/24
Scoot Henderson,POR,GSW,L,27.9,7,18,0.389,0,5,0,8,9,0.889,1,3,4,4,0,0,2,3,22,13,10/23/24
Kevin Durant,PHO,LAC,W,43.67,8,17,0.471,2,5,0.4,7,9,0.778,0,7,7,0,3,1,7,4,25,12.7,10/23/24
Javonte Green,NOP,CHI,W,25.22,3,3,1,0,0,0,3,4,0.75,0,3,3,1,4,0,1,0,9,12.3,10/23/24
Bobby Portis,MIL,PHI,W,25.85,7,10,0.7,1,1,1,1,1,1,1,2,3,3,2,1,4,4,16,12.3,10/23/24
Deni Avdija,POR,GSW,L,27.48,4,10,0.4,0,3,0,7,8,0.875,2,5,7,2,2,2,4,2,15,12.1,10/23/24
