Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Dereck Lively,DAL,GSW,L,24.42,4,6,0.667,0,0,0,4,7,0.571,2,6,8,2,0,1,1,3,12,11.3,11/12/24
Scoot Henderson,POR,MIN,W,20.75,6,9,0.667,2,2,1,0,1,0,1,3,4,2,3,0,3,4,14,11.1,11/12/24
Grant Williams,CHO,ORL,L,31.18,5,9,0.556,3,5,0.6,2,4,0.5,0,4,4,1,2,0,2,2,15,11,11/12/24
Bobby Portis,MIL,TOR,W,18,8,17,0.471,1,7,0.143,0,0,0,3,5,8,0,0,0,1,0,17,10.9,11/12/24
De'Anthony Melton,GSW,DAL,W,26.42,6,12,0.5,2,6,0.333,0,0,0,1,3,4,4,1,0,2,2,14,10.6,11/12/24
Jakob Poeltl,TOR,MIL,L,28.22,6,13,0.462,0,0,0,1,2,0.5,4,4,8,1,3,2,3,4,13,10.4,11/12/24
Collin Sexton,UTA,PHO,L,30.67,5,14,0.357,3,6,0.5,2,2,1,3,2,5,3,1,0,1,4,15,10.4,11/12/24
Malik Beasley,DET,MIA,W,35.3,7,17,0.412,5,11,0.455,2,3,0.667,1,4,5,1,1,0,4,2,21,10.3,11/12/24
Onyeka Okongwu,ATL,BOS,W,30.7,7,11,0.636,1,4,0.25,0,0,0,4,2,6,2,0,0,3,4,15,10.3,11/12/24
Jonathan Isaac,ORL,CHO,W,14,3,4,0.75,1,2,0.5,0,0,0,1,3,4,1,2,1,0,1,7,10,11/12/24
Trayce Jackson-Davis,GSW,DAL,W,14.2,3,5,0.6,0,0,0,2,6,0.333,5,4,9,2,2,0,2,1,8,9.8,11/12/24
Buddy Hield,GSW,DAL,W,20.65,6,13,0.462,2,8,0.25,0,0,0,0,1,1,0,2,0,0,0,14,9.6,11/12/24
Haywood Highsmith,MIA,DET,L,36.1,3,5,0.6,1,3,0.333,2,3,0.667,1,4,5,1,3,1,1,5,9,9.6,11/12/24
Jrue Holiday,BOS,ATL,L,29,2,5,0.4,0,3,0,4,4,1,1,2,3,7,0,0,2,0,8,9.5,11/12/24
Rudy Gobert,MIN,POR,L,32.78,2,3,0.667,0,0,0,5,6,0.833,0,8,8,4,1,1,4,2,9,9.4,11/12/24
Mike Conley,MIN,POR,L,24.28,2,5,0.4,2,5,0.4,0,0,0,0,4,4,6,2,0,1,1,6,9.3,11/12/24
Grayson Allen,PHO,UTA,W,25.58,5,10,0.5,4,9,0.444,1,2,0.5,0,1,1,0,0,0,1,0,15,8.9,11/12/24
Dalano Banton,POR,MIN,W,23.65,4,9,0.444,4,6,0.667,0,0,0,1,3,4,5,1,2,5,3,12,8.6,11/12/24
Jalen Brunson,NYK,PHI,W,34.87,5,15,0.333,0,4,0,8,8,1,0,3,3,5,1,0,6,1,18,8.5,11/12/24
Oso Ighodaro,PHO,UTA,W,21.45,3,5,0.6,0,0,0,0,0,0,4,8,12,0,0,2,1,2,6,8.5,11/12/24
Joel Embiid,PHI,NYK,L,26.42,2,11,0.182,1,5,0.2,8,8,1,1,2,3,5,0,1,2,3,13,8.4,11/12/24
A.J. Green,MIL,TOR,W,30.12,4,14,0.286,4,14,0.286,0,0,0,2,3,5,3,2,0,1,2,12,8.4,11/12/24
Kevon Looney,GSW,DAL,W,14.82,2,5,0.4,0,0,0,1,2,0.5,9,2,11,2,1,0,2,2,5,8.4,11/12/24
Tim Hardaway,DET,MIA,W,18.85,3,6,0.5,1,4,0.25,4,4,1,0,1,1,1,0,0,0,2,11,8.2,11/12/24
Quentin Grimes,DAL,GSW,L,28.93,2,4,0.5,2,4,0.5,0,0,0,2,4,6,1,1,0,0,1,6,7.9,11/12/24
Royce O'Neale,PHO,UTA,W,23.67,2,8,0.25,2,6,0.333,3,4,0.75,1,2,3,2,1,3,1,2,9,7.8,11/12/24
Goga Bitadze,ORL,CHO,W,20.15,3,5,0.6,0,1,0,3,4,0.75,1,1,2,2,0,1,1,2,9,7.6,11/12/24
Andrew Wiggins,GSW,DAL,W,33.72,3,8,0.375,0,3,0,2,4,0.5,1,2,3,4,2,1,1,4,8,7,11/12/24
Delon Wright,MIL,TOR,W,23.72,1,5,0.2,0,4,0,0,0,0,2,1,3,2,5,0,0,0,2,7,11/12/24
Chris Boucher,TOR,MIL,L,20.45,5,12,0.417,2,5,0.4,0,0,0,2,3,5,0,0,0,1,0,12,6.9,11/12/24
Al Horford,BOS,ATL,L,25.67,3,5,0.6,2,4,0.5,0,0,0,0,4,4,2,0,0,1,1,8,6.9,11/12/24
Zaccharie Risacher,ATL,BOS,W,24.83,4,13,0.308,0,4,0,0,2,0,5,4,9,0,3,0,0,2,8,6.6,11/12/24
Ryan Dunn,PHO,UTA,W,19.87,3,5,0.6,2,2,1,0,0,0,0,3,3,0,0,1,0,2,8,6.5,11/12/24
Nickeil Alexander-Walker,MIN,POR,L,27.13,3,7,0.429,1,3,0.333,1,1,1,0,0,0,2,3,0,2,1,8,6.3,11/12/24
Cody Martin,CHO,ORL,L,19.45,3,4,0.75,2,2,1,0,0,0,0,3,3,0,1,0,2,0,8,6.3,11/12/24
Tristan Da Silva,ORL,CHO,W,32.03,2,6,0.333,1,4,0.25,0,0,0,1,5,6,2,0,2,0,1,5,6.2,11/12/24
Tyus Jones,PHO,UTA,W,33.07,3,7,0.429,1,4,0.25,1,2,0.5,1,0,1,7,0,0,3,1,8,6.1,11/12/24
Jaden Hardy,DAL,GSW,L,18.95,1,2,0.5,0,1,0,2,2,1,0,2,2,4,1,0,1,1,4,6,11/12/24
Simone Fontecchio,DET,MIA,W,23.32,4,8,0.5,2,5,0.4,0,0,0,0,2,2,3,0,0,2,2,10,5.9,11/12/24
Taurean Prince,MIL,TOR,W,21.67,3,7,0.429,3,5,0.6,0,0,0,1,6,7,2,0,0,2,4,9,5.6,11/12/24
Ochai Agbaji,TOR,MIL,L,34.77,3,8,0.375,2,4,0.5,0,0,0,1,6,7,1,2,1,3,3,8,5.3,11/12/24
Andre Drummond,PHI,NYK,L,18.05,2,4,0.5,0,0,0,1,2,0.5,1,3,4,1,0,1,0,1,5,5.2,11/12/24
Drew Eubanks,UTA,PHO,L,3.43,2,2,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,4,5.1,11/12/24
Sam Hauser,BOS,ATL,L,19.1,2,3,0.667,2,3,0.667,0,0,0,0,2,2,0,0,1,1,0,6,5,11/12/24
Cole Anthony,ORL,CHO,W,9.65,2,5,0.4,1,2,0.5,1,2,0.5,1,2,3,2,1,0,1,2,6,4.8,11/12/24
Josh Richardson,MIA,DET,L,7.87,2,3,0.667,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5,4.4,11/12/24
Payton Pritchard,BOS,ATL,L,25.28,2,8,0.25,2,8,0.25,0,0,0,0,1,1,2,3,0,1,2,6,4.1,11/12/24
Keyonte George,UTA,PHO,L,33.05,4,12,0.333,1,5,0.2,0,1,0,0,5,5,4,0,0,1,3,9,3.9,11/12/24
Naji Marshall,DAL,GSW,L,22.08,2,6,0.333,0,3,0,2,2,1,2,1,3,2,1,0,2,2,6,3.9,11/12/24
Julius Randle,MIN,POR,L,29.25,3,9,0.333,0,3,0,5,6,0.833,3,3,6,2,0,0,4,5,11,3.9,11/12/24
Pat Connaughton,MIL,TOR,W,19.98,2,7,0.286,1,5,0.2,1,2,0.5,0,4,4,2,1,0,1,1,6,3.7,11/12/24
Davion Mitchell,TOR,MIL,L,33.17,0,2,0,0,0,0,1,2,0.5,0,4,4,8,1,0,3,1,1,3.6,11/12/24
Kyle Lowry,PHI,NYK,L,26.35,1,5,0.2,0,4,0,2,2,1,1,2,3,2,0,1,0,2,4,3.5,11/12/24
Jericho Sims,NYK,PHI,W,9.55,1,1,1,0,0,0,0,0,0,2,1,3,0,0,1,0,2,2,3.3,11/12/24
Kentavious Caldwell-Pope,ORL,CHO,W,24.8,2,6,0.333,0,2,0,2,2,1,0,1,1,3,0,0,1,2,6,3.2,11/12/24
Kel'el Ware,MIA,DET,L,9.45,2,4,0.5,1,2,0.5,0,0,0,0,2,2,0,0,0,0,1,5,3.2,11/12/24
Jamison Battle,TOR,MIL,L,11.93,2,4,0.5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,3,11/12/24
Donovan Clingan,POR,MIN,W,21.1,2,5,0.4,0,1,0,0,0,0,3,3,6,0,1,1,1,5,4,3,11/12/24
Luke Kornet,BOS,ATL,L,4.32,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,3,11/12/24
Rayan Rupert,POR,MIN,W,9.4,0,1,0,0,1,0,2,2,1,1,1,2,1,0,0,0,0,2,3,11/12/24
Tyler Smith,MIL,TOR,W,1.93,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,3,3,11/12/24
Ron Holland,DET,MIA,W,16.05,0,2,0,0,0,0,2,2,1,2,2,4,1,0,0,0,1,2,2.9,11/12/24
Keaton Wallace,ATL,BOS,W,31.93,3,13,0.231,1,6,0.167,0,0,0,0,2,2,8,0,0,2,1,7,2.9,11/12/24
Anthony Black,ORL,CHO,W,24.58,3,12,0.25,1,8,0.125,1,2,0.5,0,5,5,3,0,2,1,4,8,2.8,11/12/24
Isaiah Collier,UTA,PHO,L,14.95,2,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,2,4,2.6,11/12/24
Gary Harris,ORL,CHO,W,16.8,0,2,0,0,2,0,0,0,0,1,2,3,1,2,0,0,0,0,2.6,11/12/24
Kelly Oubre,PHI,NYK,L,28.63,1,6,0.167,0,2,0,3,3,1,1,5,6,1,0,2,1,5,5,2.5,11/12/24
Neemias Queta,BOS,ATL,L,21.02,0,0,0,0,0,0,0,0,0,2,3,5,0,0,2,1,1,0,2.3,11/12/24
Moses Moody,GSW,DAL,W,11.92,1,4,0.25,0,2,0,2,2,1,0,2,2,0,0,2,1,1,4,2.2,11/12/24
Brandin Podziemski,GSW,DAL,W,16.68,1,2,0.5,1,1,1,0,0,0,0,1,1,1,0,0,0,2,3,2.2,11/12/24
Monte Morris,PHO,UTA,W,14.55,1,4,0.25,0,1,0,0,0,0,0,1,1,2,0,1,0,0,2,2,11/12/24
Garrison Mathews,ATL,BOS,W,23.22,0,3,0,0,3,0,2,2,1,0,1,1,5,1,0,2,2,2,1.9,11/12/24
Josh Okogie,PHO,UTA,W,11.72,1,3,0.333,0,1,0,0,0,0,0,2,2,0,1,0,0,0,2,1.9,11/12/24
David Roddy,ATL,BOS,W,5.23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7,11/12/24
Andre Jackson,MIL,TOR,W,18.37,1,2,0.5,0,1,0,0,0,0,0,2,2,2,1,1,2,3,2,1.5,11/12/24
Vasilije Micić,CHO,ORL,L,13.58,1,5,0.2,0,1,0,2,4,0.5,0,3,3,1,1,0,1,1,4,1.3,11/12/24
Anfernee Simons,POR,MIN,W,5.08,1,2,0.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1.3,11/12/24
Kevin Love,MIA,DET,L,9.73,1,4,0.25,1,4,0.25,0,0,0,0,2,2,0,0,0,0,0,3,1.2,11/12/24
Cameron Payne,NYK,PHI,W,9.03,1,5,0.2,1,2,0.5,0,0,0,1,2,3,3,0,0,1,3,3,1.1,11/12/24
Jonathan Mogbo,TOR,MIL,L,10.63,0,1,0,0,0,0,0,0,0,2,0,2,0,1,1,1,1,0,1,11/12/24
Taj Gibson,CHO,ORL,L,14.3,2,3,0.667,0,0,0,0,0,0,2,2,4,0,0,0,3,2,4,0.9,11/12/24
Trevelin Queen,ORL,CHO,W,1.97,1,3,0.333,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0.9,11/12/24
Stanley Umude,MIL,TOR,W,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7,11/12/24
Nikola Jović,MIA,DET,L,2.5,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0.6,11/12/24
Terry Rozier,MIA,DET,L,39.52,3,14,0.214,0,5,0,1,1,1,0,2,2,5,1,1,3,2,7,0.4,11/12/24
Caleb Houstan,ORL,CHO,W,4.32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,11/12/24
Cory Joseph,ORL,CHO,W,1.97,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.3,11/12/24
Josh Minott,MIN,POR,L,1.77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3,11/12/24
Donte DiVincenzo,MIN,POR,L,17.98,1,3,0.333,1,3,0.333,0,0,0,0,2,2,1,2,0,4,1,3,0.2,11/12/24
Jeff Dowtin,PHI,NYK,L,21.65,0,4,0,0,1,0,0,0,0,1,0,1,1,2,0,0,1,0,0.2,11/12/24
Adem Bona,PHI,NYK,L,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/12/24
Ricky Council,PHI,NYK,L,0.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11/12/24
Nick Smith,CHO,ORL,L,1.97,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11/12/24
Garrett Temple,TOR,MIL,L,1.93,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11/12/24
Tidjane Salaün ,CHO,ORL,L,20.57,1,6,0.167,1,3,0.333,0,2,0,2,4,6,1,0,0,1,2,3,-0.1,11/12/24
AJ Johnson,MIL,TOR,W,1.93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.3,11/12/24
Pelle Larsson,MIA,DET,L,13.2,1,5,0.2,0,1,0,0,0,0,1,2,3,1,0,0,0,3,2,-0.3,11/12/24
Gary Payton,GSW,DAL,W,7.48,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.4,11/12/24
Cody Williams,UTA,PHO,L,15.22,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,-0.4,11/12/24
Jett Howard,ORL,CHO,W,6.23,1,3,0.333,1,3,0.333,0,0,0,0,0,0,0,0,0,1,2,3,-0.5,11/12/24
Johnny Juzang,UTA,PHO,L,13.33,0,2,0,0,2,0,0,0,0,0,1,1,2,0,0,0,2,0,-0.5,11/12/24
Spencer Dinwiddie,DAL,GSW,L,11.38,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,11/12/24
Chris Livingston,MIL,TOR,W,1.93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,11/12/24
Brice Sensabaugh,UTA,PHO,L,10.1,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,-0.7,11/12/24
Jamal Shead,TOR,MIL,L,12.23,0,2,0,0,1,0,0,0,0,0,1,1,2,1,0,2,0,0,-0.7,11/12/24
Jordan Walsh,BOS,ATL,L,4.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,11/12/24
RJ Barrett,TOR,MIL,L,30.97,3,14,0.214,1,5,0.2,0,0,0,1,6,7,2,2,0,5,1,7,-1.1,11/12/24
Seth Curry,CHO,ORL,L,5.73,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,-1.1,11/12/24
Gary Trent,MIL,TOR,W,5.95,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-1.1,11/12/24
Guerschon Yabusele,PHI,NYK,L,19.43,1,7,0.143,1,5,0.2,0,0,0,2,6,8,0,1,0,3,2,3,-1.1,11/12/24
Jared Rhoden,CHO,ORL,L,1.97,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,11/12/24
Brandon Miller,CHO,ORL,L,37.53,3,18,0.167,1,11,0.091,1,1,1,0,3,3,7,2,0,5,3,8,-1.8,11/12/24
MarJon Beauchamp,MIL,TOR,W,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2,11/12/24
Matt Ryan,NYK,PHI,W,8.82,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1,11/12/24
Josh Green,CHO,ORL,L,28.65,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,4,4,0,-4.7,11/12/24
Giannis Antetokounmpo,MIL,DET,W,43.63,21,34,0.618,1,2,0.5,16,17,0.941,3,11,14,7,2,3,3,1,59,54.2,11/13/24
Victor Wembanyama,SAS,WAS,W,32.45,18,29,0.621,8,16,0.5,6,9,0.667,1,5,6,2,1,3,1,3,50,40.2,11/13/24
Jayson Tatum,BOS,BRK,W,35.38,12,19,0.632,5,6,0.833,7,9,0.778,1,8,9,10,0,0,1,3,36,34.6,11/13/24
Jordan Poole,WAS,SAS,L,33.3,15,22,0.682,6,9,0.667,6,6,1,0,2,2,6,2,0,3,5,42,34.4,11/13/24
Karl-Anthony Towns,NYK,CHI,L,39.07,18,30,0.6,6,12,0.5,4,8,0.5,1,9,10,3,3,0,4,5,46,33.1,11/13/24
Jalen Williams,OKC,NOP,W,31.25,10,18,0.556,4,7,0.571,7,7,1,1,5,6,7,4,2,2,1,31,32.5,11/13/24
LeBron James,LAL,MEM,W,36.93,13,22,0.591,4,7,0.571,5,8,0.625,1,11,12,14,1,0,6,2,35,31.6,11/13/24
De'Aaron Fox,SAC,PHO,W,31.98,11,17,0.647,1,2,0.5,6,8,0.75,1,5,6,10,2,1,3,3,29,28.4,11/13/24
Zach LaVine,CHI,NYK,W,36.28,12,17,0.706,4,8,0.5,3,6,0.5,1,6,7,8,2,1,6,1,31,27.1,11/13/24
Brook Lopez,MIL,DET,W,40.38,9,17,0.529,5,8,0.625,6,8,0.75,3,5,8,0,3,5,2,3,29,26.8,11/13/24
Jared McCain,PHI,CLE,L,38.13,12,26,0.462,6,13,0.462,4,4,1,0,2,2,10,2,0,3,1,34,26.8,11/13/24
Josh Okogie,PHO,SAC,L,28.08,10,15,0.667,3,4,0.75,2,3,0.667,6,2,8,1,2,0,0,1,25,25.2,11/13/24
Payton Pritchard,BOS,BRK,W,36.22,8,13,0.615,5,9,0.556,2,4,0.5,2,4,6,8,2,1,1,3,23,25,11/13/24
Donovan Mitchell,CLE,PHI,W,34.38,9,21,0.429,5,13,0.385,0,0,0,2,11,13,9,2,0,0,1,23,24.5,11/13/24
Cade Cunningham,DET,MIL,L,43.48,13,34,0.382,5,10,0.5,4,4,1,2,5,7,11,2,3,6,4,35,23.5,11/13/24
Donovan Clingan,POR,MIN,W,31.48,6,10,0.6,0,0,0,5,5,1,6,6,12,1,0,8,1,3,17,22.5,11/13/24
Shai Gilgeous-Alexander,OKC,NOP,W,32.62,12,25,0.48,3,7,0.429,2,3,0.667,0,5,5,5,2,2,2,0,29,22.3,11/13/24
Rui Hachimura,LAL,MEM,W,35.78,6,7,0.857,3,4,0.75,4,5,0.8,3,4,7,3,1,1,1,1,19,21.8,11/13/24
Malik Beasley,DET,MIL,L,44.4,9,17,0.529,8,16,0.5,0,0,0,2,8,10,4,0,0,2,2,26,21.5,11/13/24
Franz Wagner,ORL,IND,W,36.77,9,24,0.375,3,8,0.375,8,9,0.889,0,3,3,6,1,1,1,0,29,21.2,11/13/24
Amen Thompson,HOU,LAC,W,34.25,6,9,0.667,2,2,1,4,6,0.667,6,5,11,2,2,1,1,3,18,20.9,11/13/24
Jaren Jackson,MEM,LAL,L,33.28,10,20,0.5,2,7,0.286,7,8,0.875,1,6,7,1,2,1,2,5,29,20.5,11/13/24
Shaedon Sharpe,POR,MIN,W,36.18,12,23,0.522,3,10,0.3,6,7,0.857,1,5,6,1,0,0,3,2,33,20.4,11/13/24
Jaylen Brown,BOS,BRK,W,36.03,8,19,0.421,2,5,0.4,6,9,0.667,2,10,12,4,1,0,0,2,24,20.1,11/13/24
Darius Garland,CLE,PHI,W,34.37,10,16,0.625,1,4,0.25,4,5,0.8,2,3,5,6,0,0,3,2,25,20.1,11/13/24
Pascal Siakam,IND,ORL,L,38.72,8,11,0.727,4,6,0.667,5,5,1,1,6,7,2,0,0,3,4,25,19.8,11/13/24
Kevin Huerter,SAC,PHO,W,36.55,9,16,0.563,2,6,0.333,2,5,0.4,1,5,6,5,3,0,1,3,22,19.7,11/13/24
James Harden,LAC,HOU,L,31.42,6,15,0.4,3,8,0.375,4,5,0.8,0,6,6,7,3,0,1,1,19,18.8,11/13/24
Patrick Williams,CHI,NYK,W,33.48,6,9,0.667,3,4,0.75,3,4,0.75,2,4,6,2,2,0,1,0,18,18.7,11/13/24
Nikola Vučević,CHI,NYK,W,34.45,9,14,0.643,0,2,0,1,1,1,3,8,11,3,2,1,2,4,19,18.5,11/13/24
Jrue Holiday,BOS,BRK,W,31.55,6,11,0.545,2,6,0.333,2,2,1,3,3,6,4,3,1,2,0,16,18.2,11/13/24
Ziaire Williams,BRK,BOS,L,26.25,8,14,0.571,2,5,0.4,5,6,0.833,0,6,6,1,1,1,1,3,23,18,11/13/24
Ayo Dosunmu,CHI,NYK,W,25.17,5,8,0.625,2,3,0.667,4,4,1,0,3,3,6,2,1,1,4,16,17.6,11/13/24
Dalton Knecht,LAL,MEM,W,31.13,7,8,0.875,5,5,1,0,0,0,0,2,2,3,1,0,1,4,19,17.3,11/13/24
Santi Aldama,MEM,LAL,L,29.45,6,14,0.429,2,7,0.286,1,2,0.5,3,4,7,5,3,1,0,2,15,16.9,11/13/24
Tari Eason,HOU,LAC,W,25.98,8,14,0.571,0,2,0,2,2,1,2,8,10,1,1,2,1,1,18,16.9,11/13/24
Jalen Brunson,NYK,CHI,L,34.48,9,20,0.45,3,9,0.333,3,5,0.6,1,2,3,8,0,0,2,3,24,16.5,11/13/24
Jonas Valančiūnas,WAS,SAS,L,22.48,6,12,0.5,0,1,0,4,4,1,5,8,13,2,0,2,1,3,16,16.5,11/13/24
Kelly Oubre,PHI,CLE,L,33.7,8,14,0.571,2,5,0.4,2,2,1,2,4,6,0,0,1,0,1,20,16.3,11/13/24
Mikal Bridges,NYK,CHI,L,42.97,8,15,0.533,1,4,0.25,3,3,1,0,6,6,5,1,0,3,0,20,16,11/13/24
Anthony Davis,LAL,MEM,W,32,6,16,0.375,2,3,0.667,7,8,0.875,2,12,14,3,0,3,3,5,21,16,11/13/24
Terance Mann,LAC,HOU,L,23.5,5,9,0.556,2,3,0.667,2,2,1,1,6,7,3,2,2,2,0,14,15.7,11/13/24
Chris Paul,SAS,WAS,W,28.72,3,7,0.429,1,3,0.333,2,2,1,0,3,3,11,3,0,1,1,9,15.5,11/13/24
Anthony Edwards,MIN,POR,L,40.13,10,25,0.4,0,9,0,4,4,1,0,4,4,4,4,1,3,2,24,15.4,11/13/24
Corey Kispert,WAS,SAS,L,33.07,7,12,0.583,5,9,0.556,0,0,0,1,1,2,2,0,0,0,1,19,15.4,11/13/24
Caleb Martin,PHI,CLE,L,33.9,8,13,0.615,1,4,0.25,1,1,1,1,6,7,1,2,0,2,0,18,15.3,11/13/24
Julius Randle,MIN,POR,L,37.07,7,15,0.467,1,3,0.333,5,7,0.714,3,7,10,2,0,0,1,2,20,15.3,11/13/24
Dalano Banton,POR,MIN,W,23.95,4,7,0.571,1,1,1,4,5,0.8,0,2,2,5,2,1,1,1,13,14.7,11/13/24
Marcus Smart,MEM,LAL,L,22.63,3,5,0.6,2,4,0.5,7,8,0.875,1,1,2,6,1,1,4,2,15,14.4,11/13/24
Goga Bitadze,ORL,IND,W,27.82,6,7,0.857,0,0,0,0,0,0,6,6,12,1,1,2,3,4,12,14,11/13/24
Reggie Jackson,PHI,CLE,L,27,5,7,0.714,3,4,0.75,0,0,0,0,4,4,4,1,0,1,1,13,13.7,11/13/24
Trey Lyles,SAC,PHO,W,22.23,5,7,0.714,3,5,0.6,0,0,0,0,5,5,3,0,0,0,0,13,13.7,11/13/24
Bennedict Mathurin,IND,ORL,L,34.83,7,17,0.412,1,5,0.2,8,9,0.889,1,11,12,0,1,0,4,2,23,13.7,11/13/24
Yves Missi,NOP,OKC,L,26.47,5,5,1,0,0,0,0,0,0,4,6,10,2,0,0,1,0,10,13.5,11/13/24
Cameron Payne,NYK,CHI,L,16.98,4,4,1,3,3,1,0,0,0,0,0,0,2,3,1,0,4,11,13.3,11/13/24
Alperen Sengun,HOU,LAC,W,30.05,6,14,0.429,1,2,0.5,0,0,0,4,7,11,6,1,4,4,3,13,13.3,11/13/24
Dennis Schröder,BRK,BOS,L,30.57,6,10,0.6,2,6,0.333,2,3,0.667,0,4,4,3,1,0,1,3,16,13.1,11/13/24
Devin Booker,PHO,SAC,L,31.38,6,16,0.375,1,4,0.25,5,6,0.833,2,1,3,5,2,0,3,0,18,13,11/13/24
Jalen Wilson,BRK,BOS,L,22.23,4,5,0.8,1,1,1,2,2,1,1,4,5,4,1,0,1,2,11,13,11/13/24
Jarrett Allen,CLE,PHI,W,32.1,5,8,0.625,0,0,0,1,2,0.5,1,11,12,1,1,0,0,0,11,12.7,11/13/24
Coby White,CHI,NYK,W,35.57,6,16,0.375,2,9,0.222,8,8,1,0,1,1,4,1,0,3,4,22,12.7,11/13/24
Kyshawn George,WAS,SAS,L,32.28,4,10,0.4,2,6,0.333,2,2,1,2,1,3,5,2,0,0,3,12,12.6,11/13/24
Keegan Murray,SAC,PHO,W,33.08,7,11,0.636,3,5,0.6,0,0,0,1,3,4,1,0,1,1,4,17,12.5,11/13/24
Kris Dunn,LAC,HOU,L,30.63,5,10,0.5,1,4,0.25,0,0,0,0,4,4,8,2,0,1,4,11,12.2,11/13/24
Cam Thomas,BRK,BOS,L,27.65,5,11,0.455,3,5,0.6,4,4,1,0,3,3,3,1,0,2,3,17,12.1,11/13/24
Domantas Sabonis,SAC,PHO,W,29.68,3,4,0.75,3,3,1,2,2,1,1,9,10,9,0,1,7,2,11,12,11/13/24
Gary Trent,MIL,DET,W,34.32,4,8,0.5,3,5,0.6,0,0,0,0,4,4,3,2,0,0,1,11,11.9,11/13/24
Harrison Barnes,SAS,WAS,W,30.15,2,5,0.4,2,2,1,4,4,1,2,5,7,2,0,1,0,2,10,11.5,11/13/24
Anthony Black,ORL,IND,W,24.75,2,6,0.333,0,1,0,2,2,1,1,4,5,6,4,1,2,0,6,11.4,11/13/24
Dillon Brooks,HOU,LAC,W,30.18,5,9,0.556,4,6,0.667,1,2,0.5,1,4,5,2,0,0,1,3,15,11.4,11/13/24
Naz Reid,MIN,POR,L,28.17,5,12,0.417,2,8,0.25,3,4,0.75,1,2,3,2,1,1,0,3,15,11.4,11/13/24
Luke Kennard,MEM,LAL,L,26.47,4,7,0.571,4,4,1,0,0,0,0,2,2,4,0,0,0,2,12,11.3,11/13/24
Rudy Gobert,MIN,POR,L,33.53,4,8,0.5,0,0,0,4,5,0.8,7,3,10,0,0,0,1,3,12,11.2,11/13/24
Guerschon Yabusele,PHI,CLE,L,30.75,4,10,0.4,1,5,0.2,1,2,0.5,3,6,9,5,1,0,1,1,10,11.2,11/13/24
Julian Champagnie,SAS,WAS,W,33.38,3,8,0.375,3,7,0.429,3,3,1,0,5,5,2,1,0,0,1,12,11.1,11/13/24
Scotty Pippen ,MEM,LAL,L,31.62,6,14,0.429,1,2,0.5,2,2,1,0,3,3,3,3,1,2,3,15,11.1,11/13/24
Jonathan Isaac,ORL,IND,W,22.33,3,5,0.6,2,3,0.667,0,0,0,1,10,11,1,0,3,0,3,8,11,11/13/24
Taurean Prince,MIL,DET,W,44.68,6,16,0.375,3,8,0.375,0,0,0,1,9,10,3,0,0,0,2,15,10.9,11/13/24
Marcus Sasser,DET,MIL,L,24.75,4,6,0.667,1,2,0.5,2,2,1,0,0,0,1,1,1,0,0,11,10.8,11/13/24
